scenario;year;erpien;rivita;askert
wemp;2018;30;50;35
wemp;2019;29;49;35
wemp;2020;29;49;35
wemp;2021;29;48;34
wemp;2022;28;47;34
wemp;2023;28;47;33
wemp;2024;28;46;33
wemp;2025;27;46;33
wemp;2026;27;45;32
wemp;2027;27;45;32
wemp;2028;26;44;31
wemp;2029;26;43;31
wemp;2030;26;43;30
wemp;2031;25;42;30
wemp;2032;25;42;30
wemp;2033;25;41;29
wemp;2034;25;41;29
wemp;2035;24;40;29
wemp;2036;24;40;28
wemp;2037;24;39;28
wemp;2038;23;39;28
wemp;2039;23;38;27
wemp;2040;23;38;27
wemp;2041;23;37;26
wemp;2042;22;37;26
wemp;2043;22;36;26
wemp;2044;22;36;26
wemp;2045;22;35;25
wemp;2046;21;35;25
wemp;2047;21;35;25
wemp;2048;21;34;24
wemp;2049;21;34;24
wemp;2050;20;33;24
wemh;2018;30;50;35
wemh;2019;29;49;35
wemh;2020;29;49;35
wemh;2021;29;48;34
wemh;2022;28;48;34
wemh;2023;28;47;33
wemh;2024;28;47;33
wemh;2025;27;47;33
wemh;2026;27;46;32
wemh;2027;27;46;32
wemh;2028;27;46;31
wemh;2029;26;45;31
wemh;2030;26;45;30
wemh;2031;26;44;30
wemh;2032;26;44;30
wemh;2033;25;44;29
wemh;2034;25;43;29
wemh;2035;25;43;29
wemh;2036;24;43;28
wemh;2037;24;42;28
wemh;2038;24;42;28
wemh;2039;24;42;27
wemh;2040;23;41;27
wemh;2041;23;41;26
wemh;2042;23;41;26
wemh;2043;23;40;26
wemh;2044;22;40;26
wemh;2045;22;40;25
wemh;2046;22;39;25
wemh;2047;22;39;25
wemh;2048;22;39;24
wemh;2049;21;38;24
wemh;2050;21;38;24
weml;2018;30;50;35
weml;2019;29;49;35
weml;2020;29;49;35
weml;2021;29;48;34
weml;2022;28;47;34
weml;2023;28;47;33
weml;2024;28;46;33
weml;2025;27;46;32
weml;2026;27;45;32
weml;2027;27;45;31
weml;2028;27;44;31
weml;2029;26;43;31
weml;2030;26;43;30
weml;2031;26;42;30
weml;2032;26;42;29
weml;2033;25;41;29
weml;2034;25;41;29
weml;2035;25;40;28
weml;2036;24;40;28
weml;2037;24;39;27
weml;2038;24;39;27
weml;2039;24;38;27
weml;2040;23;38;26
weml;2041;23;37;26
weml;2042;23;37;26
weml;2043;23;36;25
weml;2044;22;36;25
weml;2045;22;35;25
weml;2046;22;35;24
weml;2047;22;35;24
weml;2048;22;34;23
weml;2049;21;34;23
weml;2050;21;33;23
