vuosi;kaukolampo;kevyt_oljy;raskas_oljy;kaasu;sahko;puu;turve;hiili;maalampo;muu_lammitys
2017;0;263;274;199;0;0;368;330;0;120
2018;0;263;274;199;0;0;368;330;0;117
2019;0;263;274;199;0;0;368;330;0;113
2020;0;263;274;199;0;0;368;330;0;110
2021;0;260;274;199;0;0;368;330;0;106
2022;0;258;274;199;0;0;368;330;0;103
2023;0;255;274;199;0;0;368;330;0;99
2024;0;253;274;199;0;0;368;330;0;96
2025;0;250;274;199;0;0;368;330;0;92
2026;0;247;274;199;0;0;368;330;0;89
2027;0;245;274;199;0;0;368;330;0;85
2028;0;242;274;199;0;0;368;330;0;82
2029;0;239;274;199;0;0;368;330;0;78
2030;0;237;274;199;0;0;368;330;0;75
2031;0;237;274;199;0;0;368;330;0;71
2032;0;237;274;199;0;0;368;330;0;68
2033;0;237;274;199;0;0;368;330;0;64
2034;0;237;274;199;0;0;368;330;0;61
2035;0;237;274;199;0;0;368;330;0;57
2036;0;237;274;199;0;0;368;330;0;54
2037;0;237;274;199;0;0;368;330;0;50
2038;0;237;274;199;0;0;368;330;0;47
2039;0;237;274;199;0;0;368;330;0;43
2040;0;237;274;199;0;0;368;330;0;40
2041;0;237;274;199;0;0;368;330;0;36
2042;0;237;274;199;0;0;368;330;0;33
2043;0;237;274;199;0;0;368;330;0;29
2044;0;237;274;199;0;0;368;330;0;26
2045;0;237;274;199;0;0;368;330;0;22
2046;0;237;274;199;0;0;368;330;0;19
2047;0;237;274;199;0;0;368;330;0;15
2048;0;237;274;199;0;0;368;330;0;12
2049;0;237;274;199;0;0;368;330;0;8
2050;0;237;274;199;0;0;368;330;0;5
